huff,146800526,57826516,2.53,.03,36.20
delta_huff,146800526,51068198,2.87,.03,34.20
zstd,146800526,59111268,2.48,.03,22.80
delta_zstd,146800526,60910213,2.41,.03,23.20
blosc_zstd,146800526,59424916,2.47,.03,23.40
delta_blosc_zstd,146800526,60829207,2.41,.03,23.60
blosc_lz4,146800526,109537013,1.34,.03,22.00
delta_blosc_lz4,146800526,112012040,1.31,.02,24.00
blosc_lz4hc,146800526,79963216,1.83,.03,19.80
delta_blosc_lz4hc,146800526,82230874,1.78,.03,22.80
blosc_zlib,146800526,64211736,2.28,.04,20.60
delta_blosc_zlib,146800526,63817770,2.30,.04,22.20
gzip,146800526,64202820,2.28,.03,22.40
delta_gzip,146800526,63808854,2.30,.04,21.80
lzma,146800526,53302030,2.75,.03,24.20
delta_lzma,146800526,56721954,2.58,.04,23.00
lz4,146800526,131792892,1.11,.03,22.80
delta_lz4,146800526,133649460,1.09,.04,15.60
lstd_numcodec,146800526,59407084,2.47,.03,23.00
delta_lstd_numcodec,146800526,60811375,2.41,.03,22.00
bz2,146800526,47121587,3.11,.03,22.60
delta_bz2,146800526,54215332,2.70,.03,22.60
wavpack,146800526,98419448,1.49,.03,25.40
delta_wavpack,146800526,97902862,1.49,.03,26.40
